Loan Date Quarter,CreditGrade,BorrowerRate,BorrowerRate_median,BorrowerRate_25,BorrowerRate_75,BorrowerRate_min,BorrowerRate_max
2005-Q3,A,0.0945,0.0945,0.0945,0.0945,0.0945,0.0945
2005-Q3,AA,0.061975,0.061975,0.059875,0.07375,0.04,0.13
2005-Q3,B,0.0925,0.0925,0.07875,0.10625,0.065,0.12
2005-Q3,C,0.11,0.11,0.105,0.115,0.1,0.12
2005-Q3,D,0.13,0.13,0.13,0.13,0.13,0.13
2005-Q3,E,0.17,0.17,0.17,0.17,0.17,0.17
2005-Q3,HR,0.175,0.175,0.1375,0.2125,0.1,0.25
2005-Q3,NC,0.09,0.09,0.09,0.09,0.09,0.09
2005-Q4,A,0.08925,0.08925,0.08,0.105625,0.05,0.17
2005-Q4,AA,0.075,0.075,0.07,0.08,0.057,0.1195
2005-Q4,B,0.11,0.11,0.09,0.15,0.07,0.2
2005-Q4,C,0.135,0.135,0.11,0.152,0.0775,0.3575
2005-Q4,D,0.1495,0.1495,0.13,0.18,0.1,0.3
2005-Q4,E,0.2,0.2,0.1575,0.25,0.12,0.375
2005-Q4,HR,0.25,0.25,0.2,0.33,0.01,0.4975
2005-Q4,NC,0.18,0.18,0.1575,0.25,0.1175,0.3295
2006-Q1,A,0.1025,0.1025,0.09,0.12,0.06,0.2799
2006-Q1,AA,0.0892,0.0892,0.08,0.1076,0.065,0.1825
2006-Q1,B,0.1385,0.1385,0.1195,0.1575,0.0775,0.2375
2006-Q1,C,0.16,0.16,0.15,0.185,0.1,0.2875
2006-Q1,D,0.21,0.21,0.18,0.2375,0.0875,0.3575
2006-Q1,E,0.2375,0.2375,0.22,0.25,0.08,0.3575
2006-Q1,HR,0.2375,0.2375,0.23,0.28,0.03,0.3575
2006-Q1,NC,0.2075,0.2075,0.17725,0.22375,0.0575,0.27
2006-Q2,A,0.11095,0.11095,0.099975,0.135,0.067,0.21
2006-Q2,AA,0.08845,0.08845,0.081625,0.099875,0.0,0.24
2006-Q2,B,0.14,0.14,0.1195,0.155,0.08,0.29
2006-Q2,C,0.16215,0.16215,0.149,0.19,0.0775,0.29
2006-Q2,D,0.2075,0.2075,0.17,0.2425,0.0575,0.29
2006-Q2,E,0.27,0.27,0.234,0.29,0.03,0.3
2006-Q2,HR,0.28,0.28,0.22,0.29,0.06,0.3
2006-Q2,NC,0.25,0.25,0.2275,0.28,0.115,0.3
2006-Q3,A,0.1025,0.1025,0.089,0.127,0.07,0.2098
2006-Q3,AA,0.0832,0.0832,0.079225,0.1,0.05,0.2
2006-Q3,B,0.1375,0.1375,0.115,0.17,0.05,0.29
2006-Q3,C,0.16935,0.16935,0.148,0.19,0.075,0.29
2006-Q3,D,0.2,0.2,0.173,0.2294,0.0,0.3
2006-Q3,E,0.25,0.25,0.205125,0.288625,0.01,0.2975
2006-Q3,HR,0.25,0.25,0.1992,0.29,0.0,0.3
2006-Q3,NC,0.23,0.23,0.17,0.28,0.05,0.3
2006-Q4,A,0.1025,0.1025,0.09,0.13,0.05,0.24
2006-Q4,AA,0.0825,0.0825,0.076,0.0995,0.0345,0.2099
2006-Q4,B,0.129,0.129,0.111775,0.15,0.07,0.29
2006-Q4,C,0.157,0.157,0.14,0.18405,0.0,0.29
2006-Q4,D,0.18375,0.18375,0.162,0.215,0.05,0.29
2006-Q4,E,0.234,0.234,0.2,0.26,0.0575,0.29
2006-Q4,HR,0.25,0.25,0.2125,0.29,0.05,0.3
2006-Q4,NC,0.235,0.235,0.175,0.29,0.07,0.29
2007-Q1,A,0.1137,0.1137,0.0994,0.1315,0.065,0.267
2007-Q1,AA,0.0957,0.0957,0.080025,0.11075,0.05,0.2495
2007-Q1,B,0.14,0.14,0.122075,0.16,0.05,0.29
2007-Q1,C,0.16495,0.16495,0.145,0.2,0.03,0.29
2007-Q1,D,0.2,0.2,0.176625,0.230525,0.01,0.29
2007-Q1,E,0.24,0.24,0.21,0.284,0.01,0.3
2007-Q1,HR,0.2487,0.2487,0.214925,0.29,0.0,0.3
2007-Q2,A,0.115,0.115,0.1,0.1399,0.05,0.29
2007-Q2,AA,0.09,0.09,0.08,0.108625,0.0489,0.24
2007-Q2,B,0.1428,0.1428,0.123,0.1649,0.01,0.29
2007-Q2,C,0.17195,0.17195,0.15,0.2,0.005,0.29
2007-Q2,D,0.209,0.209,0.182,0.235,0.03,0.3
2007-Q2,E,0.2537,0.2537,0.2295,0.29,0.11,0.29
2007-Q2,HR,0.26,0.26,0.22,0.29,0.01,0.29
2007-Q3,A,0.121,0.121,0.1,0.14,0.035,0.23
2007-Q3,AA,0.09,0.09,0.079,0.11,0.05,0.29
2007-Q3,B,0.1421,0.1421,0.129,0.17,0.0005,0.35
2007-Q3,C,0.1772,0.1772,0.147,0.200625,0.01,0.35
2007-Q3,D,0.213,0.213,0.18,0.24,0.01,0.35
2007-Q3,E,0.27,0.27,0.2248,0.29,0.04,0.35
2007-Q3,HR,0.27,0.27,0.21,0.29,0.04,0.35
