Loan Date Quarter,ProsperRating,BorrowerRate,BorrowerRate_median,BorrowerRate_025,BorrowerRate_975,BorrowerRate_min,BorrowerRate_max
2009-Q2,A,0.1031,0.1031,0.0833125,0.183375,0.0799,0.215
2009-Q2,AA,0.0795,0.0795,0.05075,0.1248,0.0423,0.16
2009-Q2,B,0.15,0.15,0.129,0.21851,0.12,0.35
2009-Q2,C,0.2,0.2,0.1237125,0.2644075,0.0918,0.35
2009-Q2,D,0.26345,0.26345,0.12428,0.3128725,0.1218,0.345
2009-Q2,E,0.31,0.31,0.15515,0.35,0.1518,0.35
2009-Q2,HR,0.3325,0.3325,0.1818,0.35,0.1818,0.35
2009-Q3,A,0.104,0.104,0.0835,0.18,0.0795,0.2
2009-Q3,AA,0.094,0.094,0.06,0.1358125,0.053,0.21
2009-Q3,B,0.1505,0.1505,0.13165,0.20725,0.125,0.25
2009-Q3,C,0.201,0.201,0.1394125,0.3,0.1095,0.35
2009-Q3,D,0.2645,0.2645,0.16,0.345,0.1218,0.35
2009-Q3,E,0.34725,0.34725,0.202045,0.35,0.1529,0.35
2009-Q3,HR,0.35,0.35,0.18271,0.35,0.1818,0.35
2009-Q4,A,0.092,0.092,0.0819425,0.1380325,0.06,0.1859
2009-Q4,AA,0.08,0.08,0.059325,0.115975,0.0425,0.1795
2009-Q4,B,0.14,0.14,0.1236675,0.207955,0.11,0.21
2009-Q4,C,0.199,0.199,0.1240825,0.29,0.0906,0.35
2009-Q4,D,0.2635,0.2635,0.176625,0.3246,0.1206,0.345
2009-Q4,E,0.3399,0.3399,0.196825,0.35,0.1506,0.35
2009-Q4,HR,0.35,0.35,0.18495,0.35,0.1805,0.35
2010-Q1,A,0.092,0.092,0.09,0.1487875,0.0498,0.2098
2010-Q1,AA,0.071,0.071,0.0643125,0.1175875,0.06,0.19
2010-Q1,B,0.1385,0.1385,0.12025,0.19,0.109,0.3195
2010-Q1,C,0.199,0.199,0.11434,0.28007,0.0899,0.325
2010-Q1,D,0.2625,0.2625,0.1966625,0.315625,0.1204,0.35
2010-Q1,E,0.33,0.33,0.1927,0.35,0.165,0.36
2010-Q1,HR,0.35,0.35,0.208575,0.35,0.19,0.36
2010-Q2,A,0.096,0.096,0.09063,0.1291,0.05,0.18
2010-Q2,AA,0.0825,0.0825,0.0642,0.1126375,0.054,0.17
2010-Q2,B,0.1515,0.1515,0.10374,0.1515,0.0693,0.155
2010-Q2,C,0.199,0.199,0.1456925,0.2678125,0.0895,0.2995
2010-Q2,D,0.2633,0.2633,0.16193,0.31747,0.1189,0.35
2010-Q2,E,0.3435,0.3435,0.2135,0.35,0.16,0.35
2010-Q2,HR,0.35,0.35,0.214,0.35,0.1779,0.35
2010-Q3,A,0.1095,0.1095,0.082645,0.1395,0.08,0.1395
2010-Q3,AA,0.08,0.08,0.0517275,0.11,0.04,0.12
2010-Q3,B,0.149,0.149,0.11,0.179,0.077,0.25
2010-Q3,C,0.219,0.219,0.142175,0.2365,0.14,0.2365
2010-Q3,D,0.275,0.275,0.16323,0.295,0.1157,0.35
