Loan Date Quarter,Cate,LoanAmount
2005-Q3,Not Available,78687
2005-Q4,Not Available,1560387
2006-Q1,Not Available,5658175
2006-Q2,Not Available,9369516
2006-Q3,Not Available,11544121
2006-Q4,Not Available,19929121
2007-Q1,Not Available,23472245
2007-Q2,Not Available,18430232
2007-Q3,Auto,32750
2007-Q3,Business,745846
2007-Q3,Debt Consolidation,1398440
2007-Q3,Home Improvement,112951
2007-Q3,Not Available,15942132
2007-Q3,Other,116900
2007-Q3,Personal Loan,565465
2007-Q3,Student Use,41704
2007-Q4,Auto,334958
2007-Q4,Business,4839049
2007-Q4,Debt Consolidation,9688594
2007-Q4,Home Improvement,1048900
2007-Q4,Other,678680
2007-Q4,Personal Loan,3552905
2007-Q4,Student Use,326480
2008-Q1,Auto,513766
2008-Q1,Business,5884942
2008-Q1,Debt Consolidation,10615644
2008-Q1,Home Improvement,1480397
2008-Q1,Other,735979
2008-Q1,Personal Loan,6517556
2008-Q1,Student Use,581152
2008-Q2,Auto,521532
2008-Q2,Business,4553705
2008-Q2,Debt Consolidation,8809299
2008-Q2,Home Improvement,1526462
2008-Q2,Other,3330209
2008-Q2,Personal Loan,277300
2008-Q2,Student Use,802564
2008-Q3,Auto,76995
2008-Q3,Business,708199
2008-Q3,Debt Consolidation,1290054
2008-Q3,Home Improvement,290380
2008-Q3,Other,495299
2008-Q3,Student Use,80850
2009-Q1,Auto,1000
2009-Q1,Business,1000
2009-Q1,Debt Consolidation,10700
2009-Q1,Other,10900
2009-Q1,Student Use,4500
2009-Q2,Auto,72675
2009-Q2,Business,253710
2009-Q2,Debt Consolidation,1138087
2009-Q2,Home Improvement,258214
2009-Q2,Other,352960
2009-Q2,Student Use,107593
2009-Q3,Auto,267275
2009-Q3,Business,922930
2009-Q3,Debt Consolidation,3600110
2009-Q3,Home Improvement,595336
2009-Q3,Other,1115265
2009-Q3,Student Use,202141
2009-Q4,Auto,249000
2009-Q4,Business,581534
2009-Q4,Debt Consolidation,3460504
2009-Q4,Home Improvement,464078
2009-Q4,Other,985394
2009-Q4,Student Use,193180
2010-Q1,Auto,255100
2010-Q1,Business,577313
2010-Q1,Debt Consolidation,3340736
2010-Q1,Home Improvement,711488
2010-Q1,Other,1242184
2010-Q1,Student Use,254365
2010-Q2,Auto,225549
2010-Q2,Business,821090
2010-Q2,Debt Consolidation,3120486
2010-Q2,Home Improvement,730849
2010-Q2,Other,1283998
2010-Q2,Student Use,62485
2010-Q3,Auto,311450
2010-Q3,Business,1068931
2010-Q3,Debt Consolidation,4390616
2010-Q3,Home Improvement,952807
2010-Q3,Other,1657349
2010-Q4,Auto,465607
2010-Q4,Business,1336522
2010-Q4,Debt Consolidation,5822094
2010-Q4,Home Improvement,1299752
