Loan Date Quarter,BorrowerState,LoanAmount
2006-Q1,AL,13500
2006-Q1,AR,2000
2006-Q1,AZ,67600
2006-Q1,CA,423564
2006-Q1,CO,75800
2006-Q1,CT,7000
2006-Q1,FL,144575
2006-Q1,GA,381031
2006-Q1,HI,8500
2006-Q1,ID,15000
2006-Q1,IL,24600
2006-Q1,IN,59850
2006-Q1,KS,22300
2006-Q1,LA,11800
2006-Q1,MA,106203
2006-Q1,MD,35102
2006-Q1,ME,15000
2006-Q1,MI,122325
2006-Q1,MN,2600
2006-Q1,MO,117100
2006-Q1,MS,3500
2006-Q1,MT,19300
2006-Q1,NC,57000
2006-Q1,ND,5500
2006-Q1,NE,2500
2006-Q1,NH,35100
2006-Q1,NJ,22000
2006-Q1,NM,10552
2006-Q1,NY,194575
2006-Q1,OH,3363
2006-Q1,OK,5051
2006-Q1,OR,58349
2006-Q1,PA,1000
2006-Q1,TN,8500
2006-Q1,TX,230380
2006-Q1,UT,28000
2006-Q1,VA,6250
2006-Q1,WA,91780
2006-Q1,WI,6500
2006-Q1,WV,13550
2006-Q2,AL,86852
2006-Q2,AR,1000
2006-Q2,AZ,107175
2006-Q2,CA,1047778
2006-Q2,CO,95600
2006-Q2,CT,5800
2006-Q2,DE,3000
2006-Q2,FL,349649
2006-Q2,GA,541225
2006-Q2,HI,6250
2006-Q2,IA,27500
2006-Q2,ID,43400
2006-Q2,IL,324006
2006-Q2,IN,71100
2006-Q2,KS,37690
2006-Q2,LA,39650
2006-Q2,MA,164514
2006-Q2,MD,106720
2006-Q2,ME,4000
2006-Q2,MI,216410
2006-Q2,MN,2000
2006-Q2,MO,179020
2006-Q2,MS,3000
2006-Q2,MT,6600
2006-Q2,NC,124400
2006-Q2,ND,10500
2006-Q2,NE,7300
2006-Q2,NH,60006
2006-Q2,NJ,65650
2006-Q2,NM,33501
2006-Q2,NY,224251
2006-Q2,OK,44103
2006-Q2,OR,127195
2006-Q2,PA,14500
2006-Q2,SC,4800
2006-Q2,TN,12000
2006-Q2,TX,813697
2006-Q2,UT,58426
2006-Q2,VA,86444
2006-Q2,WA,148840
2006-Q2,WI,92100
2006-Q2,WV,8000
2006-Q3,AK,5000
2006-Q3,AL,247075
2006-Q3,AR,4000
2006-Q3,AZ,167700
2006-Q3,CA,1427653
2006-Q3,CO,149900
2006-Q3,CT,18000
2006-Q3,DE,2000
2006-Q3,FL,320254
2006-Q3,GA,519424
2006-Q3,HI,10200
2006-Q3,IA,23501
2006-Q3,ID,31250
2006-Q3,IL,381596
2006-Q3,IN,171684
2006-Q3,KS,30340
2006-Q3,KY,2000
2006-Q3,LA,41600
2006-Q3,MA,116206
2006-Q3,MD,134808
2006-Q3,ME,8150
2006-Q3,MI,149327
2006-Q3,MN,1000
2006-Q3,MO,239030
